mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
092016;2;0715EVA0002751;2;2;14;13;3;1;1;6;1426.6381301;165.73352379
092016;2;0715EVA0003890;2;2;11;04;7;1;1;1;1044.3897575;71.06450598
092016;2;0715EVA0003891;2;2;11;04;7;1;1;1;1303.8222896;71.06450598
092016;2;0715EVA0003921;2;2;11;04;7;1;1;1;1303.8222896;71.06450598
092016;2;0715EVA0007105;2;2;11;04;7;1;1;1;1303.8222896;71.06450598
092016;2;0715EVA0007106;2;2;11;04;7;1;1;1;1303.8222896;71.06450598
092016;2;0715EVA0007137;2;2;11;04;7;1;1;1;1303.8222896;71.06450598
092016;2;0815EVA0000287;2;2;10;01;16;3;1;6;1995.6350721;249.46448879
092016;2;0815EVA0000288;2;2;10;09;11;1;1;6;1521.2169269;134.18004464
092016;2;0815EVA0000358;2;2;05;04;10;2;1;6;1285.3173896;29.177222994
092016;2;0815EVA0000364;2;2;05;04;7;1;1;6;1059.2143128;42.028354106
092016;2;0815EVA0000366;2;2;05;04;6;1;1;6;957.59560159;44.786757531
092016;2;0815EVA0000375;2;2;05;04;7;1;1;6;1026.6329108;42.028354106
092016;2;0815EVA0000379;2;2;05;04;2;1;1;6;542.22684253;57.753535685
092016;2;0815EVA0000595;2;2;15;09;11;1;1;6;3245.0982169;121.78951163
092016;2;0815EVA0000628;2;2;15;01;9;3;3;6;3494.5093534;336.4291838
092016;2;0815EVA0000816;2;2;10;09;10;3;1;6;1115.508062;120.48394956
092016;2;0815EVA0000817;2;2;10;04;17;3;3;6;1776.6339085;129.81267954
092016;2;0815EVA0001479;2;2;15;09;7;1;1;6;2679.7590342;256.63863542
092016;2;0815EVA0002193;2;2;15;09;9;1;1;6;2955.6966462;150.40348315
092016;2;0815EVA0002270;2;2;10;13;2;1;1;6;1149.2093511;710.20616577
092016;2;0815EVA0002272;2;2;15;13;5;1;2;6;3407.4912214;361.61768481
092016;2;0815EVA0002634;2;2;15;16;4;1;1;6;2966.366911;660.64217099
092016;2;0815EVA0002711;2;2;09;04;6;1;1;6;1079.6254006;157.76743807
092016;2;0815EVA0002722;2;2;02;04;4;1;1;6;990.86091664;83.070822299
092016;2;0815EVA0002801;2;2;15;09;11;2;1;6;3355.2273848;403.23241299
092016;2;0815EVA0003249;2;2;09;04;6;1;1;6;1021.531073;157.76743807
092016;2;0815EVA0003250;2;2;09;04;14;3;1;6;1038.4511387;134.38294525
092016;2;0815EVA0003266;2;2;09;04;4;3;1;6;421.60290866;134.38294525
092016;2;0815EVA0003268;2;2;02;04;5;2;1;6;1166.5494342;69.256646207
092016;2;0815EVA0003269;2;2;02;04;12;3;1;6;886.4646113;39.085927575
092016;2;0815EVA0003270;2;2;02;04;4;1;1;6;990.86091664;83.070822299
092016;2;0815EVA0003287;2;2;09;04;7;3;1;6;586.32230302;134.38294525
092016;2;0815EVA0003294;2;2;09;04;5;1;1;6;984.70237171;175.05858434
092016;2;0815EVA0003303;2;2;02;04;15;3;1;6;1019.1222282;39.085927575
092016;2;0815EVA0003304;2;2;02;04;7;2;1;6;863.435554;68.208857385
092016;2;0815EVA0003376;2;2;15;13;8;1;2;6;3700.5556457;146.02989825
092016;2;0815EVA0003740;2;2;02;04;4;1;1;6;912.22823595;83.070822299
092016;2;0815EVA0003742;2;2;02;04;4;1;1;6;986.58409382;83.070822299
092016;2;0815EVA0003774;2;2;02;04;5;1;1;6;1040.1110955;82.440035154
092016;2;0815EVA0004460;2;2;10;10;19;3;3;6;1321.4046385;120.05210392
092016;2;0815EVA0004461;2;2;10;13;30;2;3;6;2699.4813738;516.00324481
092016;2;0815EVA0004845;2;2;03;10;12;2;1;6;1531.2677821;117.22664798
092016;2;0815EVA0005121;2;2;15;13;3;3;3;6;1953.1885199;645.17449007
092016;2;0815EVA0005482;2;2;03;10;14;3;1;6;833.7175366;63.684480016
092016;2;0815EVA0005490;2;2;03;10;56;3;1;6;3313.3065031;63.684480016
092016;2;0815EVA0005708;2;2;11;04;7;1;1;1;1303.8222896;71.06450598
092016;2;0815EVA0005709;2;2;11;04;7;1;1;1;1303.8222896;71.06450598
092016;2;0815EVA0005721;2;2;02;04;7;1;1;6;1176.5078696;81.192793885
092016;2;0815EVA0005722;2;2;02;04;7;1;1;1;1231.3588107;97.273292253
092016;2;0815EVA0005736;2;2;02;04;4;1;1;6;1080.534383;83.070822299
092016;2;0815EVA0005745;2;2;11;04;7;1;1;1;1108.0725101;71.06450598
092016;2;0815EVA0005746;2;2;11;04;7;1;1;1;1108.0725101;71.06450598
092016;2;0815EVA0005756;2;2;02;04;7;1;1;6;1176.5078696;81.192793885
092016;2;0815EVA0005757;2;2;02;04;7;1;1;1;1231.3588107;97.273292253
092016;2;0815EVA0005771;2;2;02;04;7;2;1;6;1256.7102302;68.208857385
092016;2;0815EVA0005801;2;2;15;09;11;1;1;6;3227.7187659;110.72340883
092016;2;0815EVA0006194;2;2;05;04;7;2;1;1;1221.4265448;66.007376558
092016;2;0815EVA0006195;2;2;03;04;7;1;1;1;907.66417261;57.040843847
092016;2;0815EVA0006196;2;2;03;04;7;1;1;1;907.66417261;57.040843847
092016;2;0815EVA0006200;2;2;05;04;11;2;1;6;1024.1857358;55.095527206
092016;2;0815EVA0006201;2;2;05;04;7;2;1;6;1044.3166361;55.095527206
092016;2;0815EVA0006202;2;2;03;04;7;1;1;1;907.66417261;57.040843847
092016;2;0815EVA0006203;8;2;03;04;7;1;1;1;851.53903142;57.040843847
092016;2;0815EVA0006215;2;2;03;04;10;2;1;6;1559.2015826;36.380302207
092016;2;0815EVA0006216;2;2;03;04;7;1;1;6;1151.0512348;47.611275102
