A0_1;C9_0;ccaa_etapa;pernoc_etapa
1114EVA0000012;01;09;6
1114EVA0000043;01;13;7
1114EVA0000044;01;01;2
1114EVA0000044;02;01;2
1114EVA0000044;03;01;1
1114EVA0000044;04;13;5
1114EVA0000044;05;09;8
1114EVA0000140;01;10;2
1114EVA0000157;01;05;5
1114EVA0000160;01;01;7
1114EVA0000161;01;01;2
1114EVA0000161;02;01;4
1114EVA0000161;03;01;2
1114EVA0000161;04;13;50
1114EVA0000163;01;13;5
1114EVA0000164;01;07;8
1114EVA0000165;01;01;4
1114EVA0000323;01;10;15
1114EVA0000324;01;01;4
1114EVA0000326;01;13;3
1114EVA0000327;01;01;5
1114EVA0000328;01;13;3
1114EVA0000329;01;13;6
1114EVA0000330;01;13;1
1114EVA0000331;01;13;4
1114EVA0000342;01;13;5
1114EVA0000343;01;04;5
1114EVA0000343;02;13;3
1114EVA0000344;01;13;3
1114EVA0000345;01;01;3
1114EVA0000345;02;01;4
1114EVA0000346;01;07;4
1114EVA0000453;01;09;3
1114EVA0000454;01;09;3
1114EVA0000534;01;09;3
1114EVA0000535;01;09;14
1114EVA0000536;01;09;6
1114EVA0000537;01;09;3
1114EVA0000576;01;01;8
1114EVA0000583;01;05;5
1114EVA0000583;02;05;5
1114EVA0000703;01;13;1
1114EVA0000710;01;13;1
1114EVA0000716;01;13;4
1114EVA0000717;01;13;20
1114EVA0000718;01;01;22
1114EVA0000721;01;13;1
1114EVA0000722;01;08;5
1114EVA0000723;01;13;1
1114EVA0000724;01;13;4
1114EVA0000732;01;13;2
1114EVA0000747;01;13;2
1114EVA0000775;01;13;3
1114EVA0000776;01;15;4
1114EVA0000794;01;16;3
1114EVA0000800;01;13;4
1114EVA0000801;01;15;3
1114EVA0001001;01;09;7
1114EVA0001002;01;09;6
1114EVA0001036;01;10;7
1114EVA0001038;01;13;2
1114EVA0001053;01;09;4
1114EVA0001053;02;13;5
1114EVA0001056;01;13;2
1114EVA0001060;01;01;13
1114EVA0001061;01;13;3
1114EVA0001061;02;03;2
1114EVA0001062;01;13;3
1114EVA0001062;02;01;2
1114EVA0001062;03;07;60
1114EVA0001062;04;01;3
1114EVA0001063;01;05;10
1114EVA0001214;01;09;5
1114EVA0001223;01;09;5
1114EVA0001224;01;13;2
1114EVA0001224;02;10;2
1114EVA0001224;03;09;1
1114EVA0001224;04;09;3
1114EVA0001225;01;05;11
1114EVA0001230;01;09;2
1114EVA0001272;01;09;3
1114EVA0001272;02;13;3
1114EVA0001368;01;09;7
1114EVA0001386;01;09;3
1114EVA0001402;01;03;1
1114EVA0001402;02;16;1
1114EVA0001402;03;06;1
1114EVA0001402;04;12;1
1114EVA0001432;01;13;4
1114EVA0001432;02;03;8
1114EVA0001446;01;07;9
1114EVA0001451;01;13;4
1114EVA0001453;01;13;4
1114EVA0001453;02;07;2
1114EVA0001453;03;12;2
1114EVA0001454;01;08;7
1114EVA0001620;01;13;4
1114EVA0001621;01;13;2
1114EVA0001621;02;10;5
1114EVA0001653;01;13;3
1114EVA0002104;01;09;4
1114EVA0002105;01;09;3
1114EVA0002111;01;09;6
1114EVA0002111;02;13;3
1114EVA0002121;01;09;6
1114EVA0002125;01;09;5
1114EVA0002143;01;09;10
1114EVA0002146;01;09;30
1114EVA0002399;01;05;7
1114EVA0002448;01;09;21
1114EVA0002455;01;09;14
1114EVA0002481;01;09;7
1114EVA0002499;01;09;5
1114EVA0002499;02;13;2
1114EVA0002516;01;09;8
1114EVA0002603;01;13;2
1114EVA0002616;01;13;3
1114EVA0002620;01;13;4
1114EVA0002624;01;16;9
1114EVA0002625;01;13;1
1114EVA0002965;01;09;3
1114EVA0002965;02;13;2
1114EVA0002965;03;01;2
1114EVA0003011;01;16;6
1114EVA0003095;01;01;6
1114EVA0003096;01;09;2
1114EVA0003096;02;13;2
1114EVA0003097;01;16;8
1114EVA0003098;01;13;1
1114EVA0003099;01;13;3
1114EVA0003100;01;13;4
1114EVA0003101;01;13;3
1114EVA0003120;01;13;8
1114EVA0003128;01;13;1
1114EVA0003129;01;02;3
1114EVA0003130;01;13;2
1114EVA0003528;01;05;7
1114EVA0003530;01;05;7
1114EVA0003531;01;05;7
1114EVA0003532;01;05;10
1114EVA0003533;01;05;7
1114EVA0003580;01;05;3
1114EVA0003605;01;05;10
1114EVA0003617;01;09;5
1114EVA0003617;02;13;4
1114EVA0003794;01;09;10
1114EVA0003886;01;15;2
1114EVA0004293;01;02;1
1114EVA0004293;02;01;5
1114EVA0004293;03;16;5
1114EVA0004293;04;09;5
1114EVA0004293;05;10;4
1114EVA0004294;01;09;2
1114EVA0004294;02;02;1
1114EVA0004294;03;10;3
1114EVA0004325;01;10;1
1114EVA0004325;02;01;1
1114EVA0004325;03;13;1
1114EVA0004325;04;09;2
1114EVA0004325;05;01;1
1114EVA0004360;01;09;7
1114EVA0004429;01;01;10
1114EVA0004818;01;05;7
1114EVA0004882;01;05;13
1114EVA0004911;01;13;2
1114EVA0004911;02;09;3
1114EVA0004917;01;13;1
1114EVA0004931;01;13;2
1114EVA0004932;01;13;2
1114EVA0004934;01;13;1
1114EVA0004935;01;13;4
1114EVA0004936;01;13;2
1114EVA0004937;01;13;7
1114EVA0004938;01;13;4
1114EVA0004939;01;13;2
1114EVA0004940;01;13;2
1114EVA0004942;01;05;12
1114EVA0004942;02;13;5
1114EVA0004951;01;01;3
1114EVA0004952;01;13;1
1114EVA0004953;01;13;1
1114EVA0004954;01;07;6
1114EVA0004955;01;12;31
1114EVA0004977;01;04;5
1114EVA0005066;01;09;6
1114EVA0005093;01;09;1
1114EVA0005093;02;13;3
1114EVA0005114;01;09;3
1114EVA0005115;01;09;5
1114EVA0005408;01;01;3
1114EVA0005408;02;09;2
1114EVA0005435;01;01;1
1114EVA0005435;02;01;1
1114EVA0005435;03;01;1
1114EVA0005435;04;01;1
1114EVA0005435;05;09;2
1114EVA0005459;01;09;5
1114EVA0005460;01;04;1
1114EVA0005460;02;09;5
1114EVA0005470;01;09;7
1114EVA0005630;01;04;4
1114EVA0005631;01;04;7
1114EVA0005781;01;09;7
1114EVA0005811;01;01;1
1114EVA0005811;02;09;3
1114EVA0005811;03;01;1
1114EVA0005811;04;01;1
1114EVA0005811;05;01;1
1114EVA0005815;01;09;5
1114EVA0005828;01;09;5
1114EVA0005832;01;09;8
1114EVA0005833;01;09;5
1114EVA0005834;01;09;7
1114EVA0005839;01;09;9
1114EVA0005902;01;16;3
1114EVA0005902;02;13;3
1114EVA0005903;01;01;2
1114EVA0005903;02;09;2
1114EVA0005903;03;13;30
1114EVA0005904;01;01;4
1114EVA0005922;01;13;2
1114EVA0005927;01;13;3
1114EVA0005929;01;16;15
1114EVA0006049;01;10;3
1114EVA0006049;02;01;2
1114EVA0006049;03;13;3
1114EVA0006049;04;09;4
1114EVA0006049;05;01;3
1114EVA0006072;01;09;5
1114EVA0006109;01;05;7
1114EVA0006116;01;05;10
1114EVA0006149;01;05;3
1114EVA0006183;01;13;4
1114EVA0006183;02;07;2
1114EVA0006226;01;13;4
1114EVA0006227;01;13;7
1114EVA0006228;01;13;5
1114EVA0006352;01;09;2
1114EVA0006524;01;05;7
1114EVA0006668;01;13;3
1114EVA0006695;01;01;1
1114EVA0006695;02;13;7
1114EVA0006697;01;13;2
1114EVA0006700;01;13;2
1114EVA0006734;01;04;6
1114EVA0006751;01;04;7
1114EVA0007054;01;13;3
1114EVA0007055;01;13;21
1114EVA0007057;01;13;4
1114EVA0007057;02;01;3
1114EVA0007058;01;07;55
1114EVA0007058;02;13;4
1114EVA0007059;01;13;4
1114EVA0007059;02;09;3
1114EVA0007059;03;07;5
1114EVA0007060;01;13;7
1114EVA0007061;01;08;4
1114EVA0007225;01;16;4
1114EVA0007229;01;05;8
1114EVA0007229;02;13;7
1114EVA0007230;01;13;21
1114EVA0007231;01;08;2
1114EVA0007232;01;13;2
1114EVA0007232;02;12;5
20151000000108;01;04;9
20151000000109;01;04;6
20151000000118;01;04;4
20151000000119;01;04;7
20151000000120;01;04;6
20151000000122;01;04;14
20151000000123;01;04;5
20151000000124;01;04;2
20151000000125;01;04;8
20151000000126;01;04;3
20151000000127;01;04;10
20151000000128;01;04;5
20151000000129;01;04;25
20151000000139;01;04;5
20151000000141;01;04;6
20151000000143;01;04;4
20151000000145;01;04;5
20151000000146;01;04;3
20151000000147;01;04;5
20151000000148;01;04;7
20151000000150;01;04;6
20151000000151;01;04;4
20151000000152;01;04;5
20151000000153;01;04;7
20151000000232;01;04;4
20151000000233;01;04;4
20151000000234;01;04;7
20151000000235;01;04;10
20151000000236;01;04;7
20151000000237;01;04;7
20151000000240;01;04;6
20151000000241;01;04;3
20151000000242;01;04;6
20151000000260;01;04;5
20151000000261;01;04;21
20151000000263;01;04;7
20151000000264;01;04;7
20151000000265;01;04;7
20151000000266;01;04;7
20151000000268;01;04;6
20151000000269;01;04;5
20151000000271;01;04;7
20151000001699;01;01;2
20151000001699;02;01;2
20151000001699;03;09;10
20151000001758;01;09;3
20151000001758;02;10;6
20151000001801;01;13;3
20151000001801;02;01;6
20151000001801;03;09;3
20151000001802;01;13;5
20151000001806;01;12;27
20151000001809;01;13;5
20151000001851;01;09;4
20151000001851;02;13;4
20151000001852;01;16;3
20151000001852;02;16;2
20151000001852;03;06;3
20151000001852;04;12;5
20151000002541;01;14;7
20151000002542;01;14;7
20151000002543;01;10;14
20151000002544;01;10;7
20151000002546;01;09;2
20151000002546;02;10;14
20151000002549;01;10;4
20151000002551;01;14;7
20151000002552;01;10;7
20151000002553;01;14;7
20151000002554;01;14;120
20151000002556;01;14;3
20151000002557;01;10;2
20151000002559;01;10;7
20151000002560;01;14;28
20151000002561;01;14;7
20151000002564;01;14;7
20151000002565;01;14;10
20151000002566;01;10;10
20151000002567;01;14;3
20151000002569;01;14;7
20151000002571;01;10;7
20151000002572;01;14;7
20151000002573;01;14;7
20151000002574;01;09;4
20151000002574;02;10;86
20151000002575;01;10;3
20151000002576;01;14;7
20151000002577;01;01;14
20151000002579;01;14;7
20151000002580;01;14;7
20151000002581;01;10;3
20151000002583;01;10;3
20151000002584;01;10;7
20151000002586;01;10;7
20151000002587;01;14;7
20151000002588;01;14;5
20151000002589;01;10;22
20151000002591;01;10;7
20151000002592;01;14;7
20151000002593;01;10;23
20151000002594;01;14;4
20151000002595;01;10;6
20151000002791;01;09;6
20151000002799;01;09;3
20151000002799;02;09;1
20151000002841;01;09;6
20151000003209;01;16;3
20151000003209;02;17;5
20151000003991;01;04;9
20151000003992;01;04;4
20151000003993;01;04;6
20151000003995;01;04;7
20151000003996;01;04;9
20151000003997;01;04;7
20151000003998;01;04;7
20151000003999;01;04;5
20151000004000;01;04;8
20151000004001;01;04;5
20151000004003;01;04;7
20151000004009;01;04;4
20151000004010;01;04;6
20151000004011;01;04;4
20151000004012;01;04;6
