A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
2;20160100014321;2;2;13;16;2;3;6;6;43.357258498
2;0315EVT0008557;3;4;13;09;0;2;0;1;28.352685465
2;20160100003313;2;2;13;04;8;4;6;4;18.505029869
1;20160100005973;3;2;13;98;0;2;6;1;15.354647029
1;20160100007663;2;2;13;04;1;1;6;5;32.445496665
1;20160100007873;2;2;13;01;7;1;6;4;14.719400499
1;20150300021591;3;2;13;98;0;1;1;1;379.29947164
2;20160100008036;2;3;13;01;3;1;6;4;390.91972452
2;20160100008369;2;2;13;01;7;1;6;4;27.924367645
2;20160100003148;3;3;13;01;0;1;1;1;92.141411723
2;20160100014468;2;2;13;04;8;4;6;4;25.77864826
1;20160100007656;2;2;13;04;8;1;6;3;25.333366166
1;20160100007670;2;2;13;16;2;1;6;6;16.662689117
1;20160100007661;2;2;13;10;7;1;6;5;16.101896602
1;20160100007675;2;2;13;04;8;4;6;5;25.77864826
1;20150100013359;2;2;13;05;1;1;1;6;36.879171257
1;20150300020462;3;2;13;98;0;1;6;1;379.29947164
1;20150300021587;2;2;13;02;1;2;6;4;938.30429174
1;20150200028393;2;2;13;14;1;1;6;5;463.03591378
1;20160100007662;2;2;13;04;1;1;1;4;32.748124203
2;20160100000454;2;2;13;10;8;4;6;5;40.885892618
1;20160100007866;2;2;13;10;7;1;6;6;16.101896602
1;20160100007868;2;2;13;01;8;1;6;4;14.719400499
2;20160100002536;2;2;13;16;8;4;6;6;42.711817027
1;20160100007674;2;2;13;01;8;1;6;6;14.719400499
2;20160100002540;2;2;13;16;1;1;6;5;132.88431723
1;20160100007669;2;2;13;04;1;1;1;5;32.748124203
2;20160100008333;2;2;13;01;2;1;6;5;28.346347935
1;20160100008202;3;3;13;09;0;1;1;1;107.62346799
1;20160100007878;2;2;13;04;1;1;1;5;32.748124203
1;20160100007657;2;2;13;01;8;1;6;6;14.719400499
1;20160100008227;3;3;13;09;0;1;1;1;107.62346799
1;20160100007652;2;2;13;04;8;1;6;6;25.333366166
1;20160100007665;2;2;13;01;7;1;6;5;14.719400499
1;20160100007865;2;2;13;04;1;1;1;5;32.748124203
1;20160100007658;2;2;13;11;2;1;6;5;16.662689117
1;20160100007875;2;2;13;01;1;1;1;5;44.50835043
1;20150300021612;2;2;13;01;1;1;1;4;789.24810673
1;20160100007653;2;2;13;01;8;1;6;6;14.719400499
2;20160100004262;2;2;13;10;8;4;6;5;26.302708288
2;0115EVA0006543;3;2;13;98;0;5;0;1;52.776946426
1;20150300021571;2;2;13;10;1;1;6;5;806.26425285
1;20160100007887;2;2;13;01;8;4;6;4;14.978121959
1;20150300021616;2;2;13;01;1;1;1;4;789.24810673
2;0115EVA0002025;3;2;13;98;0;5;0;1;48.95349736
2;20160100014466;2;2;13;04;1;4;6;3;33.01578798
1;20150300020482;3;2;13;98;0;4;6;1;379.29947164
1;20160100010307;2;2;13;09;1;2;6;3;107.43637069
2;20160100013855;3;3;13;04;0;1;1;1;193.87067347
1;20160100007655;2;2;13;04;8;4;6;3;25.77864826
1;20160100007888;2;2;13;04;1;1;1;4;32.748124203
2;20160100014467;3;2;13;98;0;5;0;1;21.389970603
1;20160100005810;3;2;13;98;0;1;6;1;15.354647029
2;20160100003311;2;2;13;04;8;1;6;4;18.185387102
1;20160100007666;2;2;13;04;2;1;6;3;25.716192425
2;20160100002549;2;2;13;16;1;1;1;4;38.242577457
1;20160100007678;2;2;13;04;7;1;6;4;25.333366166
1;20150400076106;2;1;13;13;1;1;1;4;533.29050773
1;20160100007871;2;2;13;14;8;4;6;6;16.70315709
1;20160100006581;2;3;13;01;9;1;6;4;129.83147859
2;20160100003308;2;2;13;01;8;4;6;5;10.751944455
1;20160100013947;2;2;13;10;7;1;6;6;64.668112177
1;20160100004545;2;2;13;16;8;1;6;4;25.200500327
1;20160100007872;2;2;13;04;1;2;6;4;33.037093452
2;20160100003281;2;2;13;04;8;4;6;6;18.505029869
2;20160100003277;2;2;13;04;1;1;6;3;23.290782312
1;20150500079530;3;1;13;09;0;1;1;1;101.13087493
1;20160100011112;2;2;13;01;2;1;6;6;92.40545752
1;20150300021595;3;2;13;98;0;1;1;1;379.29947164
1;20160100007654;2;2;13;04;1;1;6;4;32.445496665
2;20160100003159;3;3;13;01;0;1;1;1;92.141411723
1;20160100008131;3;3;13;05;0;1;1;1;107.62346799
1;20160100007893;2;2;13;04;8;4;6;3;25.77864826
1;20160100007890;2;2;13;04;8;1;6;3;25.333366166
1;20160100007659;2;2;13;04;1;1;1;5;32.748124203
1;20160100007667;2;2;13;04;7;1;6;5;25.333366166
2;0115EVA0006544;3;2;13;98;0;5;0;1;52.776946426
1;20160100007877;2;2;13;04;2;1;6;5;25.716192425
1;20160100007668;2;2;13;04;7;1;6;5;25.333366166
1;20150300020427;3;2;13;98;0;1;6;1;379.29947164
1;20150300020438;3;2;13;98;0;4;6;1;379.29947164
1;20160100007651;2;2;13;01;1;1;6;5;44.097045879
1;20160100007883;2;2;13;10;7;1;6;5;16.101896602
2;20160100003307;2;2;13;01;7;1;6;5;10.56622299
1;20150100008176;2;2;13;16;8;4;6;5;24.617941313
2;20160100003279;2;2;13;04;1;1;1;4;23.508021461
2;20160100014602;2;1;13;09;9;1;6;2;208.51770528
1;20150300020474;2;2;13;13;2;3;6;6;411.8653718
1;20160100007679;2;2;13;04;1;1;6;4;32.445496665
1;20160100004719;2;2;13;16;8;4;6;5;25.643447051
2;20160100003278;2;2;13;04;1;1;1;4;23.508021461
2;20160100004124;2;2;13;04;8;4;6;5;25.77864826
1;20150300021599;2;2;13;13;8;4;6;4;405.73410334
2;20160100004096;2;2;13;04;7;1;6;6;25.333366166
2;20160100003151;3;3;13;01;0;1;1;1;92.141411723
1;20150300020442;2;2;13;08;8;4;6;5;296.19015268
2;20160100014469;2;2;13;04;1;1;6;4;32.445496665
1;20160100007886;2;2;13;04;8;1;6;5;25.333366166
2;20160100003299;2;2;13;04;1;1;6;4;23.290782312
2;20160100014465;3;2;13;98;0;5;0;1;21.389970603
1;20160100002214;2;2;13;10;8;1;6;5;16.904801682
2;20160100003310;2;2;13;04;7;1;6;5;17.683433667
2;20160100005670;2;2;13;13;1;1;6;4;605.66386435
2;20160100003162;3;3;13;01;0;1;1;1;92.141411723
1;20160100008159;3;3;13;09;0;1;1;1;107.62346799
2;20160100008381;2;2;13;01;7;1;6;4;97.766709029
2;20160100013065;2;2;13;02;8;4;6;6;89.523772395
2;20160100015013;2;2;13;04;8;1;6;4;25.333366166
1;20160100024328;2;2;13;13;1;2;6;3;424.13020371
2;20160100015340;2;2;13;16;1;2;6;4;135.30727089
2;20160100017324;2;2;13;05;1;1;1;4;399.2523576
1;20160101007651;2;2;13;01;1;1;6;5;44.097045879
2;20160101003162;3;3;13;01;0;1;1;1;92.141411723
2;20160100020680;2;1;13;01;8;1;6;6;45.263009811
1;20160100024325;3;2;13;98;0;1;6;1;200.36127332
2;20160100020493;2;2;13;09;1;1;6;3;33.797464891
1;20160101007654;2;2;13;04;1;1;6;4;32.445496665
1;20160100016093;2;2;13;09;1;2;6;3;107.43637069
1;20160101008159;3;3;13;09;0;1;1;1;107.62346799
2;20160101013855;3;3;13;04;0;1;1;1;193.87067347
1;20160101007666;2;2;13;04;2;1;6;3;25.716192425
1;20160100024281;3;2;13;98;0;1;1;1;64.186143883
2;20160101003159;3;3;13;01;0;1;1;1;92.141411723
1;20160101007668;2;2;13;04;7;1;6;5;25.333366166
1;20160100025917;2;2;13;05;1;1;1;4;399.2523576
1;20160101007661;2;2;13;10;7;1;6;5;16.101896602
1;20160101007674;2;2;13;01;8;1;6;6;14.719400499
1;20160100018464;3;2;13;98;0;1;6;1;15.354647029
2;20160100014970;2;2;13;04;1;2;6;4;33.037093452
1;20160101007659;2;2;13;04;1;1;1;5;32.748124203
2;20160100014971;2;2;13;10;1;1;6;2;45.467948037
1;20160100024430;2;2;13;13;1;1;6;3;416.5352842
2;20160101004096;2;2;13;04;7;1;6;6;25.333366166
2;20160101003279;2;2;13;04;1;1;1;4;23.508021461
1;20160101013947;2;2;13;10;7;1;6;6;64.668112177
2;20160101003310;2;2;13;04;7;1;6;5;17.683433667
2;20160101003307;2;2;13;01;7;1;6;5;10.56622299
1;20160101007678;2;2;13;04;7;1;6;4;25.333366166
1;20160100025742;2;2;13;05;1;1;1;4;399.2523576
2;20160101003151;3;3;13;01;0;1;1;1;92.141411723
1;20160100018461;3;2;13;98;0;3;6;1;15.354647029
2;20160100017760;2;1;13;09;9;1;6;6;156.44134891
2;20160101003148;3;3;13;01;0;1;1;1;92.141411723
1;20160100025921;2;2;13;05;1;1;1;4;399.2523576
1;20160100024429;2;2;13;13;1;2;6;3;424.13020371
2;20160101014970;2;2;13;04;1;2;6;4;33.037093452
1;20160101004719;2;2;13;16;8;4;6;5;25.643447051
1;20160101007877;2;2;13;04;2;1;6;5;25.716192425
2;20160100025688;2;2;13;16;8;4;6;4;67.045311338
1;20160101007662;2;2;13;04;1;1;1;4;32.748124203
1;20160100018436;3;2;13;98;0;1;6;1;15.354647029
1;20160100024433;2;2;13;17;1;1;1;4;485.7316749
1;20160100024326;2;2;13;17;1;1;1;4;485.7316749
1;20160101007663;2;2;13;04;1;1;6;5;32.445496665
2;20160101002540;2;2;13;16;1;1;6;5;132.88431723
1;20160100021088;2;2;13;05;1;1;1;5;95.331068593
1;20160101010307;2;2;13;09;1;2;6;3;107.43637069
1;20160101007669;2;2;13;04;1;1;1;5;32.748124203
1;20160100025924;2;2;13;05;1;1;1;5;399.2523576
1;20160101007665;2;2;13;01;7;1;6;5;14.719400499
1;20160101008131;3;3;13;05;0;1;1;1;107.62346799
2;20160100020479;2;2;13;09;8;4;6;3;165.82448218
1;20160100021055;2;2;13;05;1;1;6;5;94.450108011
2;20160101003277;2;2;13;04;1;1;6;3;23.290782312
2;20160101003313;2;2;13;04;8;4;6;4;18.505029869
1;20160101016468;2;2;13;02;1;2;6;3;283.60341858
2;20160100025549;2;2;13;13;1;1;6;4;239.48070669
1;20160101007888;2;2;13;04;1;1;1;4;32.748124203
2;20160100024534;3;2;13;98;0;5;0;1;248.67135725
2;20160101003299;2;2;13;04;1;1;6;4;23.290782312
1;20160100023673;2;2;13;14;8;1;6;5;22.443030909
1;20160101007886;2;2;13;04;8;1;6;5;25.333366166
1;20160101006581;2;3;13;01;9;1;6;4;129.83147859
1;20160101002214;2;2;13;10;8;1;6;5;16.904801682
2;20160101014467;3;2;13;98;0;5;0;1;21.389970603
1;20160101005810;3;2;13;98;0;1;6;1;15.354647029
1;20160100018603;3;2;13;98;0;2;6;1;15.354647029
2;20160101008036;2;3;13;01;3;1;6;4;390.91972452
2;20160101008333;2;2;13;01;2;1;6;5;28.346347935
1;20160101007658;2;2;13;11;2;1;6;5;16.662689117
2;20160100021859;3;3;13;04;0;1;1;1;193.87067347
1;20160100022076;2;2;13;05;6;1;6;6;59.744162649
1;20160101007873;2;2;13;01;7;1;6;4;14.719400499
1;20160101007653;2;2;13;01;8;1;6;6;14.719400499
1;20160101008202;3;3;13;09;0;1;1;1;107.62346799
1;20160100020886;2;2;13;05;1;1;6;5;94.450108011
1;20160100024073;3;2;13;98;0;1;6;1;64.186143883
1;20160101007878;2;2;13;04;1;1;1;5;32.748124203
1;20160101007865;2;2;13;04;1;1;1;5;32.748124203
1;20160100024330;3;2;13;98;0;4;6;1;200.36127332
1;20160100016468;2;2;13;02;1;2;6;3;283.60341858
1;20160101008227;3;3;13;09;0;1;1;1;107.62346799
2;20160101008381;2;2;13;01;7;1;6;4;97.766709029
2;20160100024544;3;2;13;98;0;5;0;1;248.67135725
2;20160100022988;3;3;13;01;0;1;1;1;92.141411723
1;20160101007667;2;2;13;04;7;1;6;5;25.333366166
1;20160101007679;2;2;13;04;1;1;6;4;32.445496665
2;20160101003311;2;2;13;04;8;1;6;4;18.185387102
2;20160101014469;2;2;13;04;1;1;6;4;32.445496665
2;20160101003278;2;2;13;04;1;1;1;4;23.508021461
1;20160101007652;2;2;13;04;8;1;6;6;25.333366166
2;20160101014468;2;2;13;04;8;4;6;4;25.77864826
1;20160100025738;2;2;13;05;1;1;1;4;399.2523576
1;20160100018431;3;2;13;98;0;1;6;1;15.354647029
2;20160101014465;3;2;13;98;0;5;0;1;21.389970603
1;20160100023214;2;2;13;01;2;1;6;3;86.11887602
1;20160102024433;2;2;13;17;1;1;1;4;485.7316749
1;20160109024433;2;2;13;17;1;1;1;4;485.7316749
1;20160101020886;2;2;13;05;1;1;6;5;94.450108011
2;20160103003159;3;3;13;01;0;1;1;1;92.141411723
2;20160102014469;2;2;13;04;1;1;6;4;32.445496665
1;20160104024433;2;2;13;17;1;1;1;4;485.7316749
1;20160108024433;2;2;13;17;1;1;1;4;485.7316749
1;20160101021088;2;2;13;05;1;1;1;5;95.331068593
1;20160102024429;2;2;13;13;1;2;6;3;424.13020371
2;20160103002540;2;2;13;16;1;1;6;5;132.88431723
1;20160101024325;3;2;13;98;0;1;6;1;200.36127332
2;20160103003311;2;2;13;04;8;1;6;4;18.185387102
1;20160102024328;2;2;13;13;1;2;6;3;424.13020371
2;20160102003311;2;2;13;04;8;1;6;4;18.185387102
2;20160101021859;3;3;13;04;0;1;1;1;193.87067347
1;20160119024326;2;2;13;17;1;1;1;4;485.7316749
1;20160108024326;2;2;13;17;1;1;1;4;485.7316749
2;20160102003159;3;3;13;01;0;1;1;1;92.141411723
1;20160111024433;2;2;13;17;1;1;1;4;485.7316749
1;20160103024429;2;2;13;13;1;2;6;3;424.13020371
2;20160102002540;2;2;13;16;1;1;6;5;132.88431723
2;20160101017324;2;2;13;05;1;1;1;4;399.2523576
1;20160109024326;2;2;13;17;1;1;1;4;485.7316749
2;20160102003278;2;2;13;04;1;1;1;4;23.508021461
1;20160107024326;2;2;13;17;1;1;1;4;485.7316749
1;20160101018436;3;2;13;98;0;1;6;1;15.354647029
1;20160101025742;2;2;13;05;1;1;1;4;399.2523576
1;20160118024433;2;2;13;17;1;1;1;4;485.7316749
1;20160101024330;3;2;13;98;0;4;6;1;200.36127332
1;20160117024326;2;2;13;17;1;1;1;4;485.7316749
1;20160104024326;2;2;13;17;1;1;1;4;485.7316749
1;20160101024430;2;2;13;13;1;1;6;3;416.5352842
2;20160102003313;2;2;13;04;8;4;6;4;18.505029869
2;20160103021859;3;3;13;04;0;1;1;1;193.87067347
1;20160101025917;2;2;13;05;1;1;1;4;399.2523576
1;20160103024433;2;2;13;17;1;1;1;4;485.7316749
1;20160110024433;2;2;13;17;1;1;1;4;485.7316749
1;20160101024281;3;2;13;98;0;1;1;1;64.186143883
1;20160105024433;2;2;13;17;1;1;1;4;485.7316749
2;20160101025688;2;2;13;16;8;4;6;4;67.045311338
2;20160103003162;3;3;13;01;0;1;1;1;92.141411723
1;20160103024326;2;2;13;17;1;1;1;4;485.7316749
1;20160118024326;2;2;13;17;1;1;1;4;485.7316749
1;20160101025924;2;2;13;05;1;1;1;5;399.2523576
1;20160101024326;2;2;13;17;1;1;1;4;485.7316749
1;20160114024326;2;2;13;17;1;1;1;4;485.7316749
1;20160103004719;2;2;13;16;8;4;6;5;25.643447051
2;20160102021859;3;3;13;04;0;1;1;1;193.87067347
1;20160106024433;2;2;13;17;1;1;1;4;485.7316749
1;20160107024433;2;2;13;17;1;1;1;4;485.7316749
1;20160120024326;2;2;13;17;1;1;1;4;485.7316749
1;20160101025921;2;2;13;05;1;1;1;4;399.2523576
1;20160113024433;2;2;13;17;1;1;1;4;485.7316749
1;20160116024433;2;2;13;17;1;1;1;4;485.7316749
1;20160113024326;2;2;13;17;1;1;1;4;485.7316749
1;20160111024326;2;2;13;17;1;1;1;4;485.7316749
1;20160101025738;2;2;13;05;1;1;1;4;399.2523576
1;20160115024433;2;2;13;17;1;1;1;4;485.7316749
1;20160116024326;2;2;13;17;1;1;1;4;485.7316749
1;20160101018431;3;2;13;98;0;1;6;1;15.354647029
2;20160102003162;3;3;13;01;0;1;1;1;92.141411723
1;20160110024326;2;2;13;17;1;1;1;4;485.7316749
1;20160101018461;3;2;13;98;0;3;6;1;15.354647029
1;20160101023214;2;2;13;01;2;1;6;3;86.11887602
2;20160101022988;3;3;13;01;0;1;1;1;92.141411723
1;20160112024326;2;2;13;17;1;1;1;4;485.7316749
1;20160119024433;2;2;13;17;1;1;1;4;485.7316749
1;20160106024326;2;2;13;17;1;1;1;4;485.7316749
1;20160105024326;2;2;13;17;1;1;1;4;485.7316749
1;20160102025917;2;2;13;05;1;1;1;4;399.2523576
1;20160117024433;2;2;13;17;1;1;1;4;485.7316749
2;20160102008381;2;2;13;01;7;1;6;4;97.766709029
1;20160102004719;2;2;13;16;8;4;6;5;25.643447051
2;20160101025549;2;2;13;13;1;1;6;4;239.48070669
1;20160102018436;3;2;13;98;0;1;6;1;15.354647029
1;20160101024328;2;2;13;13;1;2;6;3;424.13020371
1;20160102024326;2;2;13;17;1;1;1;4;485.7316749
2;20160103003313;2;2;13;04;8;4;6;4;18.505029869
1;20160102007653;2;2;13;01;8;1;6;6;14.719400499
1;20160102024430;2;2;13;13;1;1;6;3;416.5352842
1;20160101021055;2;2;13;05;1;1;6;5;94.450108011
1;20160103025924;2;2;13;05;1;1;1;5;399.2523576
1;20160101018464;3;2;13;98;0;1;6;1;15.354647029
1;20160112024433;2;2;13;17;1;1;1;4;485.7316749
1;20160115024326;2;2;13;17;1;1;1;4;485.7316749
1;20160102025924;2;2;13;05;1;1;1;5;399.2523576
1;20160114024433;2;2;13;17;1;1;1;4;485.7316749
1;20160101024429;2;2;13;13;1;2;6;3;424.13020371
1;20160101024433;2;2;13;17;1;1;1;4;485.7316749
1;20160120024433;2;2;13;17;1;1;1;4;485.7316749
1;20160104024429;2;2;13;13;1;2;6;3;424.13020371
2;20160124012312;2;2;2;01;1;1;1;4;48.221310188
1;20160101023642;2;2;2;10;2;3;6;6;17.873956063
1;20160104014106;2;2;2;10;8;1;6;4;38.938734776
2;20160110006797;2;2;2;01;1;2;1;4;49.100556157
1;20160101023777;2;2;2;10;2;1;6;4;17.565214018
1;20160103026252;2;2;2;07;8;4;6;5;259.96582052
1;20160101024946;2;2;2;05;2;1;6;5;94.320388302
1;20160101024948;2;2;2;05;1;1;6;5;62.034458819
1;20160101024390;3;2;2;98;0;1;1;1;55.81309999
2;20160139012312;2;2;2;01;1;1;1;4;48.221310188
1;20160101026661;2;2;2;05;1;1;1;5;88.237615537
2;20160121012312;2;2;2;01;1;1;1;4;48.221310188
2;20160103019232;2;2;2;09;2;1;6;4;170.9712343
2;20160115006797;2;2;2;01;1;2;1;4;49.100556157
1;20160104001646;2;2;2;04;2;1;6;4;12.335293517
1;20160101026837;2;2;2;05;2;1;6;5;132.92122756
1;20160102018202;2;2;2;09;2;1;6;3;69.541973903
1;20160106026653;2;2;2;05;1;1;1;5;88.237615537
1;20160101026648;2;2;2;05;1;1;1;5;88.237615537
1;20160104025155;2;2;2;05;2;1;6;4;94.320388302
1;20160101018195;2;2;2;09;1;1;6;3;38.567568279
2;20160101022446;2;2;2;05;1;1;6;5;62.034458819
1;20160103004556;2;2;2;16;1;2;6;3;49.364597517
1;20160102017000;2;2;2;10;1;1;1;4;199.46933406
1;20160101019705;2;2;2;13;1;1;6;4;34.600040347
2;20160116018700;2;2;2;05;1;1;1;4;88.237615537
2;20160104007311;3;2;2;98;0;5;0;1;27.077531061
1;20160102001645;2;2;2;04;8;1;6;5;12.151663134
1;20160107019711;3;2;2;98;0;4;6;1;27.077531061
1;20160102026663;2;2;2;05;1;1;1;5;88.237615537
1;20160101026838;2;2;2;05;1;1;1;4;88.237615537
1;20160102026826;2;2;2;05;1;1;1;4;88.237615537
1;20160101024964;2;2;2;05;1;1;1;4;62.613070259
1;20160105024376;3;2;2;98;0;1;1;1;55.81309999
1;20160101026642;2;2;2;05;2;1;6;6;132.92122756
1;20160102024933;2;2;2;05;1;1;6;5;62.034458819
2;20160116006797;2;2;2;01;1;2;1;4;49.100556157
2;20160131012312;2;2;2;01;1;1;1;4;48.221310188
