"Anyo","Mes","Destino_CCAA","Gasto_Real"
"2016","7","4",2590942654.33429
"2016","7","9",2527615011.85796
"2016","8","4",2505299479.9083
"2016","8","9",2398524550.92795
"2016","9","9",2038055015.79557
"2016","6","4",1864357175.76876
"2016","9","4",1823457765.78433
"2016","6","9",1745515693.81458
"2016","5","9",1540554357.734
"2017","3","5",1511355360.71179
"2016","12","5",1475413211.3341
"2017","4","9",1471638572.08955
"2016","10","9",1459174539.15871
"2016","5","4",1456614546.57724
"2016","10","5",1434536112.36588
"2016","8","1",1426504643.05829
"2017","1","5",1415558578.70525
"2017","2","5",1400644684.94474
"2015","10","9",1392787839.37406
"2016","3","5",1368599203.5323
"2016","7","5",1364495998.85674
"2016","8","5",1357081977.55483
"2017","4","5",1347703461.24222
"2016","11","5",1313605290.66694
"2016","7","1",1281353469.63232
"2016","1","5",1272469359.10076
"2016","2","5",1261363170.37598
"2015","11","5",1244744245.64075
"2016","4","9",1229710452.30785
"2016","10","4",1204635232.22752
"2016","10","1",1203775673.47873
"2015","12","5",1198235421.37378
"2016","9","1",1179673041.04937
"2016","8","10",1177653960.199
"2016","6","1",1162307216.00275
"2015","10","5",1149710812.28393
"2016","4","5",1128213805.27647
"2016","9","5",1124058094.46756
"2016","5","1",1103472451.5566
"2017","4","1",1099226375.05925
"2017","3","9",1053354112.27183
"2015","10","1",1048869856.80512
"2016","4","1",1023881589.75244
"2016","7","10",1006367117.94824
"2016","6","5",996859182.272017
"2016","5","5",985266988.266476
"2016","11","9",981972596.658914
"2015","11","9",963893333.94773
"2016","12","9",939689258.430022
"2015","10","4",932689043.637502
"2016","3","9",928093545.210065
"2017","2","9",925888657.87618
"2017","4","4",906348090.51971
"2015","12","9",867264207.452717
"2016","2","9",832114527.59632
"2016","1","9",830868110.558987
"2017","1","9",823171115.463309
"2017","3","1",814172561.364813
"2017","4","13",797842600.973481
"2016","7","13",792587095.473472
"2016","10","13",789070639.603652
"2016","9","10",784807495.385285
"2016","6","13",779479815.728383
"2016","9","13",743884180.397579
"2016","3","1",720628593.295945
"2016","5","13",711116030.954586
"2015","10","13",702916500.121322
"2016","6","10",698617021.001398
"2016","10","10",677689657.264237
"2016","4","4",664166900.236602
"2016","8","13",649176435.719644
"2016","12","1",645627371.226743
"2017","4","10",638208778.454768
"2016","5","10",634536535.595524
"2016","4","13",632596221.562775
"2017","1","13",625431624.117986
"2017","2","1",593889668.880965
"2016","4","10",582805045.612719
"2016","11","1",569461730.864763
