"Anyo","Mes","Pais","Gasto_Real"
"2016","8","8",2312129732.91072
"2016","7","8",2227733096.55591
"2016","9","8",1832757520.78303
"2016","6","8",1807764463.6482
"2016","5","8",1486481588.55224
"2016","10","8",1461093522.42794
"2016","8","1",1442614182.399
"2016","8","3",1414642821.47532
"2015","10","8",1336413821.88162
"2016","7","1",1309078887.15108
"2016","9","1",1263702356.40707
"2016","10","1",1247526491.4426
"2017","4","8",1242522083.15596
"2016","6","1",1164064334.75604
"2016","9","15",1133781021.5736
"2016","4","8",1133755894.93122
"2016","5","1",1101468754.56824
"2017","4","1",1085395832.82119
"2017","3","8",1040849961.33182
"2016","7","15",1023455421.93522
"2015","10","1",1022254787.99483
"2016","7","3",980729475.384016
"2016","8","15",968043715.764298
"2016","3","8",924015303.37203
"2016","12","8",907815361.866143
"2016","10","15",837749330.400826
"2016","6","15",834884122.819228
"2016","7","11",833959242.825413
"2016","4","1",823130460.627352
"2017","2","8",801655751.176497
"2016","11","8",775983879.814698
"2017","1","8",761824398.212101
"2017","4","15",746854895.195051
"2015","12","8",731744860.537475
"2016","3","1",709671208.475818
"2017","3","1",706087710.422307
"2016","5","15",702457201.183649
"2016","2","8",690253910.736977
"2015","11","8",659061057.094651
"2015","10","15",646041855.507386
"2017","4","3",641946725.186678
"2016","8","5",637747987.69337
"2016","7","14",623305198.651414
"2016","9","3",622796929.403536
"2016","5","3",611160465.845131
"2016","1","8",608990539.91744
"2016","4","3",604024088.297668
"2016","8","14",598912910.509319
"2017","3","11",595204561.458524
"2016","7","12",587612636.076518
"2016","10","11",586013482.964075
"2017","4","11",584202656.652111
"2016","12","15",581956369.309742
"2015","10","3",579087090.108807
"2016","4","15",574130362.836609
"2016","6","13",570892739.978721
"2016","9","14",567965581.879406
"2017","1","15",567065504.297626
"2017","3","15",565258353.504731
"2016","10","14",564785509.301419
"2016","8","12",564765235.575923
"2016","10","3",558717486.628294
"2016","11","15",557700907.437889
"2016","5","14",553291810.562137
"2016","7","6",548701794.842747
"2016","6","14",547902870.113686
"2016","9","12",544852368.007467
"2016","6","3",538124286.300566
"2016","3","11",536792595.837087
"2016","11","1",530283005.520797
"2017","2","1",529958814.042749
"2017","1","1",529031408.97266
"2015","11","15",527657248.761118
"2015","10","11",526160102.243023
"2016","8","6",522988389.808258
"2016","3","15",512630030.466762
"2015","12","15",512465797.584174
"2015","11","1",512062690.706848
"2017","2","15",507678673.505093
"2016","7","13",506782962.742837
"2016","12","1",504623790.679308
"2017","2","11",497658814.03868
"2016","12","11",494871373.303001
"2017","4","14",493424468.311566
"2016","1","11",493267690.110408
"2016","2","15",488978266.436992
"2016","1","15",483473798.827041
"2016","6","12",483201154.251818
"2016","11","11",481930274.572259
"2016","4","11",475574460.095813
"2016","2","1",474444498.186266
"2016","2","11",473377733.731636
"2017","1","11",470089421.174383
"2015","11","11",469269350.70476
"2016","1","1",469036306.070817
"2016","10","12",458760908.2615
"2017","1","14",439045588.364171
"2016","8","11",430165105.189627
"2015","12","11",426937349.319543
"2015","10","14",423110094.616825
"2016","6","11",419626792.050783
"2015","12","1",419037359.435025
"2016","9","11",414119226.665677
"2016","5","12",408185195.257806
"2016","7","2",406639831.896629
"2016","5","13",404866091.641697
"2016","9","13",402449842.652774
"2016","5","6",395476478.80925
"2016","4","14",387438708.443164
"2017","4","12",385538811.896233
"2016","5","11",382501933.972642
"2016","7","5",373767107.687436
"2017","4","13",364500519.704879
"2017","3","3",363267545.678407
"2016","9","6",361225147.876732
"2016","12","14",357848512.11726
"2017","2","14",357112056.024426
"2016","8","13",351364139.75431
"2017","3","13",348311731.687322
"2015","10","12",347875527.419912
"2016","12","3",346848449.792198
"2016","1","14",343296631.482944
"2017","2","3",341473195.690228
"2017","3","14",340396675.633922
"2016","11","14",338778631.891048
"2016","4","12",338423010.850072
"2016","6","6",333218209.764992
"2015","10","13",332035688.902008
"2016","10","13",329205536.419829
"2016","4","6",325147795.7283
"2017","3","12",324802300.652503
"2017","2","12",323714568.12141
"2015","11","3",319658482.121834
"2016","10","6",310957746.397906
"2016","11","12",304486302.658732
"2016","8","2",298553246.772776
"2016","3","14",297185797.126078
"2015","12","14",295116855.085356
"2016","11","3",291178938.956475
"2017","1","12",290043648.485189
"2016","12","12",289751157.566275
"2016","2","3",288494294.670405
"2016","3","3",288389135.896751
"2015","12","3",283860991.991288
"2017","1","3",281926422.162694
"2016","9","5",278718910.621916
"2015","11","14",277174420.048589
"2016","1","3",275219383.980026
"2016","3","12",275056431.606012
"2016","6","5",274150849.463771
"2016","8","10",270934952.338783
"2016","1","12",270196959.125049
"2015","10","6",266957023.680794
"2016","2","14",263879747.595445
"2016","7","10",254304171.703865
"2017","4","6",254215418.095717
"2015","11","12",253146684.08308
"2016","2","12",245189075.305054
"2016","4","13",242231501.641046
"2016","8","4",241776333.335262
"2016","3","13",240040296.784417
"2016","12","13",237698848.834936
"2016","7","4",235332327.254443
"2017","4","5",229812712.098066
"2016","7","9",229623050.46468
"2015","12","12",229416707.706381
"2016","6","4",225509754.057357
"2015","12","13",222518799.694386
"2016","9","4",219823716.615417
"2016","11","13",218443557.082649
"2016","9","2",218298844.857479
"2016","10","5",216199170.827412
"2016","5","5",208954874.594286
"2016","12","5",208007697.772074
"2016","9","10",207614600.628717
"2016","6","2",207031825.188946
"2016","6","10",204592784.085424
"2017","3","6",202049273.516405
"2015","11","13",198824931.374815
"2017","4","2",196104145.443931
"2015","10","5",190179422.047955
"2016","4","5",189675230.494837
"2016","5","2",188927749.042333
"2017","2","13",188427716.89921
"2016","3","5",184462118.429635
"2017","2","6",183251026.911853
"2016","10","9",180796021.328582
"2017","4","4",178726068.608862
"2017","1","5",174172265.275042
"2017","1","13",174025489.635806
"2017","3","5",173474994.035681
"2016","5","4",173210651.29536
"2015","12","5",171518137.171729
"2016","3","6",168763245.315401
"2016","10","4",168032369.579623
"2016","10","2",167787554.367133
"2016","9","9",167091841.497074
"2016","4","2",166043546.14731
"2016","6","9",165224721.757644
"2017","4","9",164946366.799238
"2016","1","13",162079115.230698
"2017","1","6",160849434.125827
"2016","12","6",159063672.958884
"2016","2","6",158884533.925113
"2016","3","2",158764943.317351
"2015","10","9",158111231.516312
"2017","2","5",157598115.913532
"2015","10","2",155651136.300469
"2016","8","9",155406848.407106
"2016","11","5",155265323.136364
"2016","2","13",152442820.2995
"2016","1","5",151412845.604745
"2016","2","5",150423324.204534
"2016","4","9",146412426.289793
"2015","12","6",146052318.660129
"2016","11","6",145648649.344977
"2016","8","7",144375685.00511
"2015","11","5",138931695.485325
"2017","3","2",137149751.233344
"2015","11","6",135553141.495793
"2016","12","2",134286394.9662
"2015","10","4",132157784.669638
"2017","2","2",127978727.298071
"2016","1","6",127036650.676213
"2016","5","9",124780576.755756
"2016","10","10",124435123.570521
"2017","2","9",116949018.10457
"2016","7","7",115933095.59145
"2016","5","10",115686314.156572
"2015","11","2",114890619.121539
"2016","11","2",112224288.08501
"2016","4","4",109866062.660159
"2015","12","2",107963721.493726
"2017","3","9",106747165.996391
"2016","2","2",105095787.912006
"2016","3","4",104860510.34929
"2016","1","2",102936021.266471
"2015","10","10",100958356.792438
"2017","1","10",99633170.4020154
"2017","1","2",97444652.8211936
"2016","6","7",94991447.7263083
"2017","4","10",94272480.6078691
"2017","3","4",93387484.2038998
"2016","10","7",92767355.2841216
"2016","3","9",92691358.1963577
"2016","9","7",92423348.8735728
"2017","1","9",89498323.318446
"2016","11","4",88395472.9134762
"2016","11","9",88269107.9345879
"2017","1","4",85711090.5027567
"2015","11","9",85643133.7137861
"2016","12","9",85040688.3431256
"2016","4","10",82723551.2900023
"2015","11","10",82259464.6911227
"2016","12","4",79390544.5792706
"2016","1","10",79255392.4022876
"2016","3","10",77744700.1880137
"2017","4","7",76486387.9701601
"2016","1","4",72598908.7370567
"2017","2","4",72393869.11389
"2016","12","10",71326145.6694238
"2015","12","9",67155208.4379195
"2015","10","7",63635717.0379083
"2016","11","10",63512761.8117015
"2017","3","10",63038885.3276405
"2016","2","9",63016418.0594759
"2015","12","4",62911251.6003844
"2015","11","4",60719467.0465937
"2017","2","10",59955479.9825202
"2016","2","4",59399789.7155693
"2016","1","9",59217991.5308708
"2015","12","10",58988162.2178566
"2016","5","7",56223099.8932315
"2016","3","7",53407108.3158652
"2016","2","10",49001326.7955781
"2016","4","7",48219279.5056773
"2016","2","7",43392953.2526746
"2016","11","7",43078892.9441672
"2016","12","7",42772376.5378966
"2016","1","7",39238325.5211169
"2017","2","7",38882096.8065649
"2017","3","7",38288025.9042189
"2015","11","7",37989711.4161601
"2015","12","7",37577567.6728409
"2017","1","7",31497325.4853089
