"Anyo","Mes","Destino_CCAA","Viajeros"
"16","7","9",3561933.16586665
"16","8","9",3362215.44288043
"16","6","9",2710795.77333517
"16","9","9",2620370.06103706
"16","5","9",2535176.43074062
"16","7","4",2491819.88023372
"16","8","98",2463762.85808281
"15","10","9",2412172.99048513
"16","4","9",2382695.65342437
"17","4","9",2365660.75707628
"16","8","4",2346607.96923482
"16","10","9",2336411.75255006
"16","6","4",2000063.22547174
"16","9","4",1897634.16346342
"16","3","9",1830048.3084965
"15","12","9",1730792.44871714
"16","5","4",1722439.41916704
"15","11","9",1699103.75970614
"16","8","1",1654303.82050289
"17","3","9",1626031.94072192
"16","11","9",1618758.02485077
"16","2","9",1598428.83601002
"16","12","9",1575255.12150736
"16","1","9",1556216.65014894
"17","2","9",1474066.00853487
"16","7","98",1462222.46329596
"16","7","1",1446116.32816352
"17","3","5",1334786.99080784
"16","10","4",1323931.22568938
"17","4","5",1322018.1906012
"16","10","5",1316330.36864874
"16","12","5",1302977.03811906
"17","1","9",1298646.64185269
"16","9","1",1292299.5824957
"17","4","1",1289913.51839071
"16","3","5",1254633.33959479
"17","1","5",1254518.37536305
"17","2","5",1252865.09146399
"16","8","10",1248300.14396889
"16","11","5",1210482.51697911
"16","10","1",1210299.66946484
"16","5","1",1191956.64766131
"16","6","1",1191186.68579707
"16","2","5",1174828.01217611
"15","10","5",1163708.03371895
"15","10","1",1162947.96339397
"16","7","5",1158873.92926972
"15","11","5",1157483.09107175
"16","4","1",1155927.01220812
"17","4","98",1155408.21889086
"16","4","5",1133015.20877478
"16","8","5",1132289.12996077
"16","1","5",1130472.05257825
"15","10","4",1128584.21878116
"15","12","5",1081908.00326963
"16","7","10",1073479.26359166
"16","9","5",1050344.38933802
"17","4","4",1012896.42841262
"15","10","98",967644.566290488
"16","9","98",963670.925932709
"16","6","5",954035.002347548
"16","8","16",935032.525245097
"16","5","5",923475.12512449
"17","3","98",887360.472044977
"16","7","16",874475.110984991
"17","3","1",848845.081356727
"16","3","1",841983.738871369
"16","4","4",828695.185442251
"16","5","98",826523.741065844
"16","6","98",824403.843866063
"17","2","98",810948.753929799
"16","10","98",804622.704626284
"16","8","12",797319.811844348
"16","9","10",788344.115032388
"16","6","10",779989.10751927
"16","10","10",779830.066507434
"16","5","10",776350.992521184
"15","12","98",755575.302598937
"16","3","98",751904.817143087
"17","4","10",751869.344141074
"16","12","98",750955.632693181
"16","4","98",748708.369244349
"15","10","16",744910.303098601
"16","11","1",724476.343124275
"16","6","16",720474.340019583
"16","5","16",719783.037932209
"16","9","16",714447.719516853
"17","2","1",704585.157498941
"17","4","16",701986.153361678
"16","3","16",694891.882797195
"17","4","13",688301.201398952
"16","4","16",683124.608355721
"16","2","98",680950.891676008
"16","4","10",672660.246959465
"16","12","1",665425.881740479
"17","1","98",664702.313068973
"17","1","1",660551.25620465
"15","11","1",659618.717091987
"16","1","98",656542.911351679
"15","10","10",655495.663970879
"16","10","16",637646.945143986
"16","2","1",622071.567540792
"15","12","1",621522.500191508
"16","11","98",613765.470512425
"16","4","13",608251.356399745
"16","9","13",603508.23950872
"15","11","16",603427.733954891
"16","10","13",601271.783262652
"16","1","1",593105.020100529
"15","10","13",592961.444814816
"16","1","16",587280.861964358
"15","11","98",584893.942961614
"16","5","13",572217.039288797
"16","12","16",562967.048520369
"16","2","16",542324.718308141
"17","3","16",538841.391449662
"15","12","16",535829.785989335
"16","6","13",529189.852929309
"16","7","13",528048.799442985
"17","3","10",528032.624112662
"16","11","16",513638.145605842
"16","8","13",504542.831849804
"17","2","16",493846.267066851
"17","1","16",492911.900281356
"17","1","13",491312.282128201
"16","3","10",486582.409700549
"17","3","13",484292.845379943
"16","3","4",482536.957310132
"16","11","13",457075.88882912
"16","9","12",456813.288777469
"17","2","13",451689.657243585
"17","2","10",435699.787175921
"16","7","12",435314.479610638
"16","12","13",426679.183142902
"16","11","10",413804.747816587
"17","1","10",413332.893714986
"16","1","13",408368.607742469
"16","5","12",404473.500991058
"15","11","13",401901.367152444
"17","4","12",399767.620568526
"16","3","13",389206.414361359
"16","6","12",387495.019432295
"16","12","12",376744.835966114
"16","12","10",375313.918991837
"15","12","13",357593.342006057
"16","2","13",355241.401322126
"16","2","10",352277.326329755
"15","10","7",346239.976589908
"16","10","12",341595.75488616
"16","3","12",340634.046289871
"17","3","4",333243.643903269
"16","8","7",332839.661785251
"15","11","10",329379.650254342
"15","12","10",326429.316326061
"17","3","12",326387.408478494
"16","1","10",322259.350487594
"16","8","15",317619.578426844
"16","11","12",297420.254887368
"17","4","7",281244.911796947
"16","7","15",280489.761938945
"17","2","12",270744.934079517
"16","4","7",270432.90786659
"15","11","12",262077.433320886
"17","4","15",258428.589359786
"16","9","15",254021.25256331
"16","7","7",251291.890610042
"16","10","15",249186.611445796
"16","4","12",239218.67631198
"15","12","7",230620.2091691
"16","5","15",229086.333952627
"15","10","15",225533.35158915
"16","6","15",224715.891344526
"16","8","11",222431.312132631
"16","9","7",221195.206350903
"16","12","15",218207.237155992
"17","1","12",214694.790752141
"16","10","7",213909.299563548
"15","10","12",205067.442244837
"16","2","4",204415.261520751
"16","4","15",204055.855525742
"16","1","12",201018.031801412
"16","2","7",196955.636967937
"16","11","15",187352.528514657
"17","3","15",183222.219693472
"16","8","14",180754.365462258
"17","1","7",179269.471348714
"16","12","11",177506.93188894
"16","6","7",174029.191206646
"16","3","11",173630.249179054
"16","11","4",173391.462363632
"15","12","15",170450.795849108
"15","12","11",169365.355042625
"15","11","15",169032.623875627
"17","2","4",167121.800467375
"16","1","7",165550.893433078
"16","2","12",157370.574620852
"17","2","15",155482.282404955
"17","3","7",154969.723678737
"15","11","4",151269.001949258
"15","11","11",151047.551242859
"16","3","15",150560.346780839
"16","10","11",150209.815080884
"16","12","7",147674.470911504
"16","7","11",147220.412852453
"16","2","15",146839.037673954
"17","1","15",144202.815152493
"16","5","7",143806.696287339
"16","11","11",142882.765975865
"15","12","12",141903.885173789
"16","9","11",137659.32390349
"15","12","4",137617.02042093
"16","5","11",136924.611985464
"16","8","2",136158.587817486
"16","1","4",134846.127003291
"17","1","11",134453.048390727
"15","11","7",132223.889060202
"17","3","11",131907.235797853
"17","2","7",131210.881504224
"16","6","11",130502.870666978
"16","1","15",128860.592145655
"17","4","11",126331.262753312
"16","11","7",124137.967391309
"16","12","4",120408.306199498
"16","4","14",118441.462509297
"17","4","14",117469.112385533
"17","2","11",113198.221864378
"17","1","4",112533.706787158
"16","1","11",110339.890776585
"15","10","14",108005.916463604
"16","6","14",107960.933003613
"16","7","2",105030.614934653
"16","7","14",98046.72118399
"16","4","11",95618.048260398
"16","10","2",94816.522761531
"16","10","14",92792.3226777435
"16","5","2",89156.1605892
"16","3","7",87121.8602290348
"16","5","14",85637.9477716376
"15","10","11",85317.842338972
"16","9","2",79854.142289133
"16","2","11",78006.731003577
"16","7","6",77055.9930904871
"17","3","14",74911.0429919793
"16","9","14",72901.8367754546
"16","3","2",69097.0250659201
"16","6","2",68469.6957281
"16","8","6",64393.1615134267
"17","4","2",63065.406713147
"16","3","14",61967.5128717678
"16","12","14",57736.8982558591
"15","12","2",57470.9139610741
"16","11","14",57427.9171581881
"15","10","2",56823.953867559
"16","4","2",56382.803277353
"16","8","3",55680.719799489
"16","2","2",54145.882898985
"16","7","3",53689.033390099
"16","12","2",53208.764638778
"16","11","2",52339.604213724
"17","2","14",49902.0989045486
"17","3","2",49077.068683453
"17","2","2",47343.887755628
"16","2","14",46519.2679193797
"17","1","2",45278.773856131
"16","9","6",44527.5462469641
"16","1","2",43975.8989471706
"16","6","6",42113.6407611195
"17","1","14",41542.0802369499
"15","12","14",40102.6814626405
"16","8","8",38307.255614631
"16","9","3",38156.3535972659
"15","10","6",37902.0154570783
"15","11","2",36490.606539627
"15","11","14",33701.4850347876
"16","6","8",33001.897012819
"16","5","6",32962.6489377064
"17","4","6",31294.2576934135
"16","1","14",30499.249398189
"16","5","3",28635.422271201
"15","11","6",27849.3553654882
"16","1","17",25761.527650457
"16","10","6",25255.8252682127
"16","3","8",24357.7406804135
"16","6","3",23921.193441015
"16","4","6",23504.7929968854
"17","1","8",22715.173919279
"16","9","8",22486.645564802
"16","10","8",22194.8005796819
"17","4","8",22176.624105149
"16","4","8",21629.393113862
"16","2","6",21385.5190092614
"17","3","8",21359.285258804
"15","10","8",19363.601992907
"16","12","8",18626.3689913976
"16","7","8",18532.659014658
"15","12","8",18197.9876137028
"17","1","3",18144.0548196039
"17","3","3",17960.4251632746
"16","11","3",17885.9389137838
"16","10","17",17458.4936412842
"15","10","3",17409.820410839
"15","12","6",17356.5085781373
"16","3","6",17175.0904956955
"17","1","6",17023.6026354177
"15","12","3",16996.736003203
"16","3","3",16657.0711379514
"16","8","17",16525.139928533
"17","4","3",16336.43530078
"17","2","3",16159.3493239777
"16","9","17",15959.016658259
"16","5","8",15675.289532479
"17","3","6",15588.454852576
"17","2","6",14937.680262475
"16","11","6",14676.4215997146
"16","1","8",14479.636567322
"15","11","8",13999.5054065239
"16","1","3",13471.26107099
"16","12","6",13318.2886377287
"16","11","8",12867.9879023239
