"Anyo","Mes","Pais","Viajeros"
"16","8","4",5567798.32752549
"16","7","4",3889578.29344151
"17","4","4",2976704.60369813
"15","10","4",2961419.90116753
"16","4","4",2869090.74254462
"16","5","4",2806544.8845557
"16","9","4",2695368.74803233
"16","6","4",2556529.49656603
"16","10","4",2528190.38222336
"16","8","9",2449530.73329473
"16","7","9",2357275.70214896
"16","6","9",2242831.92228502
"16","9","9",2175566.10794113
"16","3","4",2149118.32215159
"16","12","4",2118706.70807444
"15","12","4",2083752.13355361
"17","3","4",1948523.99126945
"16","5","9",1946073.17347365
"15","11","4",1941595.26694643
"16","2","4",1900251.54441577
"16","1","4",1848172.27972131
"17","2","4",1831457.80524318
"16","10","9",1791981.37916504
"16","11","4",1785688.40415506
"15","10","9",1739014.62485622
"17","4","9",1637607.38795556
"17","1","4",1612160.80825754
"16","4","9",1590175.68085575
"16","8","1",1507580.79395704
"16","8","8",1454701.58300097
"16","7","1",1414039.75887137
"16","9","1",1373338.45214854
"16","10","1",1353293.08229755
"16","5","1",1275053.62355834
"16","6","1",1266305.97048423
"17","4","1",1231326.98347018
"17","3","9",1214802.52295925
"16","3","9",1187922.25698544
"15","10","1",1176021.10814195
"17","4","8",1034468.61518539
"16","7","8",1021696.46493708
"17","2","9",1005273.94066953
"16","12","9",966727.550501172
"16","9","8",941540.072060157
"16","4","1",936370.539507632
"16","11","9",928203.168038562
"16","2","9",912412.599734491
"16","6","8",902852.98910289
"17","1","9",890912.164082066
"16","12","8",874448.012182599
"16","8","6",851282.093117254
"16","3","8",847367.279007876
"15","11","9",837035.990081985
"16","10","8",836656.550151895
"15","12","9",829967.639443449
"16","3","1",823299.082735877
"15","12","8",790973.181472923
"17","3","1",781448.757868081
"16","9","13",775299.9224175
"16","5","8",773151.066690142
"16","7","13",773045.68773523
"16","4","8",772836.522150204
"16","1","9",753575.820010363
"17","3","8",744673.751850653
"15","10","8",740754.317095789
"16","8","13",737666.106005493
"17","2","8",698606.564525737
"15","11","8",697306.799785059
"16","7","10",696109.968286795
"16","11","8",688295.357866122
"17","1","8",688102.762484058
"16","1","8",687557.739002056
"16","6","13",676466.17241296
"16","2","8",663475.567615024
"16","11","1",655082.007486193
"16","8","16",641198.629908209
"17","4","13",622936.654806551
"16","10","13",619984.907983946
"16","9","16",614454.920429175
"16","7","7",613120.897702653
"15","11","1",613059.454971378
"16","7","16",608473.498389761
"16","5","13",604407.1802464
"17","2","1",587230.090176753
"16","7","6",571041.919287832
"16","8","7",560686.504476248
"17","3","13",559266.28422268
"16","7","2",552905.665531861
"16","6","6",552816.406936904
"16","10","10",551057.843512411
"15","10","13",548117.176393452
"16","1","1",546567.187593427
"16","2","1",546529.488276591
"16","3","13",537341.922262227
"17","1","1",536242.337785957
"16","4","13",524129.942972308
"15","10","10",521496.244477513
"16","7","15",509400.073237407
"16","12","1",503042.189731975
"17","2","13",500713.098174039
"17","4","10",492548.526821521
"16","11","13",489634.704858315
"15","12","1",489264.871293445
"17","3","10",469492.719272449
"17","4","16",466087.157698587
"16","3","10",457780.2041025
"17","1","13",455509.088989005
"16","9","6",450310.501352402
"16","10","16",445124.188604819
"15","11","13",441988.656352603
"16","12","13",440191.239269579
"16","6","10",440139.508838375
"17","4","6",434342.650463993
"16","5","16",432859.510483663
"15","10","6",430660.813802349
"17","2","10",427041.345076414
"15","12","13",426054.478180275
"16","5","6",425496.686119653
"16","6","16",425016.382170801
"16","4","6",422446.400905895
"16","1","13",420113.244465961
"16","9","10",419618.98290192
"16","4","10",419435.241195104
"16","2","13",417970.997086733
"16","5","7",413476.473258453
"16","6","15",413439.534782833
"16","11","10",412537.437422401
"16","2","10",409846.554930305
"16","1","10",402677.809171761
"17","4","15",395616.303746626
"16","10","15",394355.547046612
"16","4","16",393650.380779172
"16","5","15",393227.58955073
"17","1","10",392813.36183765
"16","8","2",391452.018208499
"16","9","15",388521.854212443
"16","8","15",385692.940333209
"16","8","10",385546.72014988
"16","12","10",374795.089276572
"15","11","10",372301.549575461
"16","5","10",369630.405208327
"16","10","6",364465.361434544
"15","12","6",359457.352626559
"15","11","6",359334.334462049
"16","7","14",359191.795629629
"15","10","16",354947.885021516
"17","3","6",350618.351353785
"16","9","7",346714.127823596
"16","3","6",345583.530114989
"15","12","10",345090.563170554
"17","1","6",339385.541662718
"16","12","6",337845.891526843
"16","4","7",336613.211289896
"16","6","14",334077.990553717
"16","11","6",332152.805453897
"17","3","16",329423.21409653
"16","10","7",325763.310903129
"16","7","12",325433.643768388
"17","1","16",322317.409213443
"16","1","6",321613.471175191
"16","2","6",321065.056952777
"16","6","7",319814.614867651
"16","11","16",317724.332683863
"17","2","6",312442.690236965
"15","10","7",311534.805330855
"16","5","14",309308.313250445
"16","10","14",301440.402274069
"16","12","16",300960.458860285
"17","1","15",298860.957739206
"15","10","15",290933.905597646
"16","3","16",288036.291254019
"17","2","16",285927.66125828
"16","1","16",285288.233045828
"15","11","16",284543.469589747
"16","2","16",280511.188702888
"16","12","15",279829.983643471
"16","9","14",276307.149091448
"17","4","7",272749.511830403
"17","4","14",269548.617561897
"17","4","12",265904.544556377
"16","11","15",264603.041692244
"15","12","16",262960.22549104
"17","3","15",259561.74535138
"16","4","15",255975.113129101
"16","10","12",255681.61162021
"17","2","15",251490.979752143
"15","10","14",250522.377913536
"16","9","2",247942.790519649
"16","1","15",247732.50848333
"17","4","2",246599.286471608
"16","8","14",243835.955078143
"16","7","5",233916.165539544
"16","6","5",233267.309183002
"16","8","5",233156.734092697
"16","8","12",232774.634485209
"17","3","14",231597.403634608
"16","6","2",229345.871794557
"16","3","15",226175.418090811
"16","5","2",224121.60149771
"17","3","7",221100.148805854
"16","9","5",219702.252646228
"15","10","12",216878.358015135
"16","9","12",212866.590227174
"15","12","15",206240.763840339
"16","4","2",202094.954809988
"16","5","5",196590.144851404
"16","10","5",192670.249979384
"15","11","15",191870.197342802
"17","4","5",191396.443667177
"16","5","12",190475.909781638
"16","6","12",189738.016637786
"16","10","2",188208.580509894
"16","3","7",188204.784779496
"15","10","2",184627.180710475
"17","2","7",182833.255535737
"16","2","15",182497.413514846
