mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
122016;2;20151000000108;2;2;08;04;9;3;1;6;481.48595551;5.8944252364
122016;2;20151000000109;2;2;08;04;6;1;1;6;845.97997263;1.5039289976
122016;2;20151000000115;2;2;09;04;5;1;1;6;968.64385955;15.554465945
122016;2;20151000000116;2;2;09;04;6;2;1;6;959.27940719;13.828112023
122016;2;20151000000118;2;2;08;04;4;1;1;6;809.26782163;3.4342139488
122016;2;20151000000119;2;2;08;04;7;1;1;1;967.80195921;1.1799514271
122016;2;20151000000120;2;2;08;04;6;3;1;6;537.34836512;3.9296168243
122016;2;20151000000122;2;2;08;04;14;3;1;6;837.47348287;1.9648084121
122016;2;20151000000123;2;2;08;04;5;1;1;6;938.26458875;1.8555886652
122016;2;20151000000124;2;2;08;04;2;1;2;6;618.75121381;1.2487204093
122016;2;20151000000125;2;2;08;04;8;3;3;6;428.18157316;1.8307220832
122016;2;20151000000126;2;2;08;04;3;1;1;6;674.73544214;2.8248179656
122016;2;20151000000127;2;2;06;04;10;2;1;6;933.22160912;50.519479549
122016;2;20151000000128;2;2;06;04;5;1;1;6;1115.1249252;14.087582179
122016;2;20151000000129;2;2;06;04;25;3;1;6;1318.834174;6.6339330837
122016;2;20151000000136;2;2;09;04;7;3;3;6;264.37761259;26.475743611
122016;2;20151000000138;2;2;09;04;7;1;1;1;1044.3423719;9.3526156181
122016;2;20151000000139;2;2;08;04;5;1;1;6;938.26458875;1.8555886652
122016;2;20151000000141;2;2;08;04;6;1;1;6;845.97997263;1.5039289976
122016;2;20151000000143;2;2;08;04;4;3;1;6;409.7543491;1.9648084121
122016;2;20151000000145;2;2;08;04;5;1;1;6;875.93683531;1.8555886652
122016;2;20151000000146;2;2;08;04;3;3;2;6;398.71755139;1.4078959837
122016;2;20151000000147;2;2;08;04;5;2;1;6;1012.1636517;2.0931294701
122016;2;20151000000148;2;2;08;04;7;3;1;6;317.62912866;5.8944252364
122016;2;20151000000150;2;2;06;04;6;1;1;6;705.81016667;8.7663362267
122016;2;20151000000151;2;2;06;04;4;2;1;6;963.08361562;30.311687729
122016;2;20151000000152;2;2;06;04;5;1;1;6;905.48503568;7.0437910896
122016;2;20151000000153;2;2;06;04;7;3;3;6;641.00055306;3.0906035722
122016;2;20151000000232;2;2;08;04;4;1;1;1;736.11399896;2.2162934521
122016;2;20151000000233;2;2;08;04;4;1;1;6;809.26782163;2.2894759659
122016;2;20151000000234;2;2;08;04;7;2;1;6;746.55177791;4.1248540968
122016;2;20151000000235;2;2;08;04;10;1;1;1;1179.3833993;0.6282044325
122016;2;20151000000236;2;2;08;04;7;1;1;1;867.96924021;1.1799514271
122016;2;20151000000237;2;2;08;04;7;1;1;1;848.26555245;1.7699271407
122016;2;20151000000244;2;2;09;04;9;3;1;6;658.20148533;18.943258963
122016;2;20151000000245;2;2;09;04;6;1;1;6;893.30657074;12.258815471
122016;2;20151000000260;2;2;08;04;5;1;1;6;938.26458875;1.8555886652
122016;2;20151000000261;2;2;08;04;21;1;2;6;2291.4873359;0.0230479356
122016;2;20151000000263;2;2;08;04;7;1;1;1;765.70091704;1.7699271407
122016;2;20151000000264;2;2;08;04;7;1;1;1;765.70091704;2.3599028543
122016;2;20151000000265;2;2;08;04;7;1;1;1;967.80195921;1.1799514271
122016;2;20151000000266;2;2;08;04;7;1;1;1;765.70091704;1.7699271407
122016;2;20151000000273;2;2;09;04;10;3;3;6;705.33562227;17.650495741
122016;2;20151000000934;2;2;15;13;5;3;3;6;718.67622495;96.717858472
122016;2;20151000001703;2;2;11;09;4;1;2;6;1150.8644827;39.984696899
122016;2;20151000001704;2;2;11;09;4;1;1;6;1022.3698202;167.40356475
122016;2;20151000001705;2;2;11;09;7;1;1;6;1192.2470219;57.458943395
122016;2;20151000001743;2;2;11;09;4;1;1;6;1022.3698202;111.6023765
122016;2;20151000001744;2;2;11;09;3;1;1;6;659.17234697;278.48942434
122016;2;20151000001745;2;2;11;10;15;3;3;6;1034.0890647;32.859931451
122016;2;20151000001759;2;2;11;09;4;1;2;6;1342.1215713;39.984696899
122016;2;20151000001801;2;2;15;01;12;1;1;6;4210.2066088;102.24008024
122016;2;20151000001806;2;2;15;12;27;1;3;6;5459.8424662;3.6846545162
122016;2;20151000002541;2;2;12;14;7;1;1;1;1535.1947876;346.34541949
122016;2;20151000002542;2;2;12;14;7;1;1;1;1535.1947876;346.34541949
122016;2;20151000002551;2;2;04;14;7;1;1;6;861.10946634;137.27613583
122016;2;20151000002572;2;2;12;14;7;1;1;1;1439.9321792;519.51812924
122016;2;20151000002573;2;2;12;14;7;1;1;1;1535.1947876;346.34541949
122016;2;20151000002575;2;2;04;10;3;3;1;6;497.57761872;704.67882201
122016;2;20151000002576;2;2;04;14;7;2;1;6;653.65996453;342.5180878
122016;2;20151000002789;2;2;11;09;3;1;1;1;970.38716013;134.79379055
122016;2;20151000002790;2;2;11;09;14;2;3;6;7629.0347517;142.12848151
122016;2;20151000002793;2;2;11;09;3;1;2;6;1042.1380564;99.776685504
122016;2;20151000002804;2;2;11;09;2;2;2;6;766.69590992;109.30229122
122016;2;20151000002805;2;2;11;09;6;1;1;1;1163.1633897;138.79827696
122016;2;20151000002806;2;2;11;09;4;2;1;6;957.18177237;305.07660189
122016;2;20151000002809;2;2;11;09;9;1;1;6;1489.9699855;36.910259405
122016;2;20151000002821;2;2;11;09;5;3;3;6;491.8181548;46.65877618
122016;2;20151000002822;2;2;11;04;120;2;2;6;9133.9984906;245.4524047
122016;2;20151000002823;2;2;11;12;6;1;3;6;867.63520165;24.903704696
122016;2;20151000002824;2;2;11;09;14;1;1;6;2326.6520965;6.1036659435
122016;2;20151000002825;2;2;11;09;5;1;1;1;1414.7348387;86.588326927
122016;2;20151000002835;2;2;11;09;3;1;1;6;805.91661757;69.622356085
122016;2;20151000002837;2;2;11;09;6;1;1;6;1223.64772;71.690713812
122016;2;20151000002838;2;2;11;09;3;1;1;6;905.45542124;139.24471217
122016;2;20151000002840;2;2;11;09;2;2;1;1;697.23982496;738.31226583
122016;2;20151000003209;2;2;14;17;8;1;1;6;1919.0065554;212.32726036
122016;2;20151000003991;2;2;06;04;9;3;1;6;524.62621228;26.535732335
122016;2;20151000003992;2;2;06;04;4;1;1;6;839.80178809;8.4895773383
122016;2;20151000003993;2;2;06;04;6;3;3;6;619.14043079;3.0906035722
122016;2;20151000003995;2;2;08;04;7;1;1;1;967.80195921;1.1799514271
122016;2;20151000003996;2;2;08;04;9;1;1;1;1112.4737076;0.7750957833
122016;2;20151000003997;2;2;08;04;7;1;1;1;765.70091704;2.9498785678
122016;2;20151000003998;2;2;08;04;7;1;1;1;967.80195921;1.7699271407
122016;2;20151000003999;2;2;08;04;5;1;1;1;833.04080356;1.7962752481
122016;2;20151000004000;2;2;08;04;8;3;1;6;597.38611631;1.9648084121
122016;2;20151000004001;2;2;08;04;5;1;1;6;1010.4996876;1.8555886652
122016;2;20151000004003;2;2;08;04;7;1;1;1;967.80195921;1.1799514271
122016;2;20151000004013;2;2;05;04;3;1;1;6;543.11997266;55.33154747
122016;2;20151000004015;2;2;05;04;4;1;1;6;631.86784129;29.56066674
122016;2;20151000004016;2;2;05;04;30;3;1;6;1372.2263713;26.543009474
122016;2;20151000004018;2;2;06;04;7;2;1;6;1083.7267496;10.93935307
122016;2;20151000004020;2;2;06;04;7;3;1;6;641.00055306;13.267866167
122016;2;20151000004026;2;2;06;04;5;2;1;6;1054.1166238;7.9454929785
122016;2;20151000004029;2;2;06;04;4;3;3;6;446.64738657;6.1812071444
122016;2;20151000004030;2;2;08;04;7;1;1;1;765.70091704;1.7699271407
