A0_1;C9_0;ccaa_etapa;pernoc_etapa
20160100009859;01;13;7
20160100010954;01;08;3
20160100010956;01;13;3
20160100010997;01;13;5
20160100010998;01;13;4
20160200003322;01;09;1
20160200003322;02;09;1
20160300016669;01;10;34
20160300018246;01;14;7
20160300018247;01;10;4
20160300018248;01;14;5
20160300018248;02;10;2
20160300018279;01;10;9
20160300018280;01;10;7
20160300018281;01;14;4
20160300031127;01;13;4
20170100000180;01;04;2
20170100000182;01;04;9
20170100000190;01;04;3
20170100000191;01;04;3
20170100000348;01;16;7
20170100001050;01;13;1
20170100001050;02;09;2
20170100001384;01;03;16
20170100001484;01;13;17
20170100002805;01;01;21
20170100002867;01;12;17
20170100003103;01;13;3
20170100003864;01;09;7
20170100003866;01;09;1
20170100003866;02;09;3
20170100003921;01;09;1
20170100003921;02;13;2
20170100003921;03;01;1
20170100003921;04;10;1
20170100003921;05;09;1
20170100003921;06;01;1
20170100003922;01;09;6
20170100003955;01;16;3
20170100003955;02;09;2
20170100006074;01;13;7
20170100006345;01;03;1
20170100007549;01;09;10
20170100007550;01;09;7
20170100008211;01;09;5
20170100008213;01;05;6
20170100008213;02;05;3
20170100008213;03;05;3
20170100009952;01;15;14
20170100010071;01;04;5
20170100010072;01;04;30
20170100010075;01;04;14
20170100010078;01;04;10
20170100010079;01;04;30
20170100010080;01;04;1
20170100010081;01;04;9
20170100011220;01;09;1
20170100011221;01;09;1
20170100011222;01;09;1
20170100011323;01;09;2
20170100015937;01;14;7
20170100017518;01;09;4
20170100017518;02;13;3
20170100018067;01;13;4
20170100018599;01;16;1
20170100018599;02;16;2
20170100021258;01;13;3
20170100022002;01;13;2
20170100023883;01;10;14
20170100025757;01;07;14
20170100025763;01;03;4
20170100026823;01;09;1
20170100026915;01;09;7
20170100028824;01;13;4
20170100028824;02;01;5
20170100028825;01;13;5
20170100028941;01;07;9
20170100028942;01;12;1
20170100028946;01;13;3
20170100028946;02;09;3
20170100029546;01;13;3
20170100029546;02;09;3
20170100029596;01;13;7
20170100029603;01;13;9
20170100029810;01;13;21
20170100029811;01;13;5
20170100030165;01;13;14
20170100030206;01;13;3
20170100030206;02;09;2
20170100030206;03;01;1
20170100030206;04;01;2
20170200000132;01;14;4
20170200000132;02;14;4
20170200000133;01;10;7
20170200000166;01;14;7
20170200000167;01;14;3
20170200000170;01;14;3
20170200000206;01;09;5
20170200000210;01;09;30
20170200000210;02;09;4
20170200000211;01;09;18
20170200000221;01;09;5
20170200000224;01;09;40
20170200000227;01;09;1
20170200000239;01;09;180
20170200000240;01;09;2
20170200000243;01;09;3
20170200000246;01;09;1
20170200000248;01;09;2
20170200000254;01;09;2
20170200000268;01;09;4
20170200000269;01;09;1
20170200000274;01;09;6
20170200000286;01;09;2
20170200000615;01;09;2
20170200000616;01;02;4
20170200000616;02;09;4
20170200000623;01;13;2
20170200000624;01;13;7
20170200000633;01;09;2
20170200000638;01;09;3
20170200000644;01;09;4
20170200000651;01;13;30
20170200000653;01;13;8
20170200000659;01;09;30
20170200000664;01;09;7
20170200000867;01;04;7
20170200000868;01;04;14
20170200000869;01;04;30
20170200000871;01;04;7
20170200000873;01;04;4
20170200000877;01;04;7
20170200001618;01;10;1
20170200001619;01;10;3
20170200001629;01;10;5
20170200001642;01;10;5
20170200001644;01;10;4
20170200001645;01;10;4
20170200001657;01;10;5
20170200002153;01;14;90
20170200002154;01;10;3
20170200002155;01;14;6
20170200002156;01;14;6
20170200002194;01;14;14
20170200002195;01;14;30
20170200002196;01;14;9
20170200002198;01;14;3
20170200002592;01;13;2
20170200002593;01;13;7
20170200002633;01;13;4
20170200002634;01;13;7
20170200002638;01;13;7
20170200002647;01;01;1
20170200002647;02;03;3
20170200002777;01;02;1
20170200002792;01;09;3
20170200002802;01;13;7
20170200002805;01;09;5
20170200002805;02;13;4
20170200002810;01;09;1
20170200002815;01;09;1
20170200002817;01;09;2
20170200003869;01;10;4
20170200003870;01;10;6
20170200003874;01;10;3
20170200003908;01;10;8
20170200003911;01;10;3
20170200003913;01;10;2
20170200003914;01;10;3
20170200004542;01;01;3
20170200004544;01;01;5
20170200004563;01;01;3
20170200004564;01;01;13
20170200004565;01;01;4
20170200004604;01;01;5
20170200004606;01;01;14
20170200004607;01;01;3
20170200004627;01;01;5
20170200004628;01;01;2
20170200005904;01;09;2
20170200005913;01;13;3
20170200005917;01;09;8
20170200005918;01;09;5
20170200005918;02;09;1
20170200005922;01;09;4
20170200005933;01;13;34
20170200005937;01;01;2
20170200005937;02;01;2
20170200005937;03;01;2
20170200005952;01;09;3
20170200005955;01;09;1
20170200006024;01;13;3
20170200006024;02;07;1
20170200006024;03;02;1
20170200006024;04;15;1
20170200006024;05;16;1
20170200006159;01;14;3
20170200006160;01;10;7
20170200006211;01;04;10
20170200006212;01;05;4
20170200006212;02;04;6
20170200006213;01;04;3
20170200006254;01;04;21
20170200006256;01;04;5
20170200006526;01;09;2
20170200006527;01;09;3
20170200006529;01;09;1
20170200006684;01;09;2
20170200006687;01;09;3
20170200006688;01;09;5
20170200006689;01;09;7
20170200006873;01;05;5
20170200006878;01;09;29
20170200007470;01;04;3
20170200007650;01;09;1
20170200007827;01;13;1
20170200007932;01;09;8
20170200008456;01;09;4
20170200008457;01;09;3
20170200008473;01;09;4
20170200008474;01;13;2
20170200008474;02;09;1
20170200008514;01;09;2
20170200008515;01;09;4
20170200008516;01;09;2
20170200008520;01;09;3
20170200008536;01;09;4
20170200008537;01;09;2
20170200008537;02;09;1
20170200008570;01;02;1
20170200008571;01;09;5
20170200008572;01;09;3
20170200009280;01;04;7
20170200009402;01;09;4
20170200009402;02;13;4
20170200009830;01;01;20
20170200010082;01;07;1
20170200010112;01;09;1
20170200010115;01;10;18
20170200010119;01;09;2
20170200010120;01;09;9
20170200010126;01;04;5
20170200010126;02;09;1
20170200010130;01;09;7
20170200010139;01;09;7
20170200010149;01;09;5
20170200010151;01;09;5
20170200010157;01;09;5
20170200010162;01;09;1
20170200010202;01;14;8
20170200010282;01;14;20
20170200010282;02;09;3
20170200010373;01;01;2
20170200010480;01;01;4
20170200011055;01;10;4
20170200011211;01;09;3
20170200011228;01;09;1
20170200011229;01;09;2
20170200011230;01;09;7
20170200011297;01;09;2
20170200011298;01;09;1
20170200011299;01;09;2
20170200011368;01;09;2
20170200011369;01;09;2
20170200011371;01;09;3
20170200011436;01;15;1
20170200011444;01;02;7
20170200011451;01;02;1
20170200011452;01;02;1
20170200011452;02;10;30
20170200011456;01;02;2
20170200011502;01;16;1
20170200011514;01;13;3
20170200011525;01;13;2
20170200011530;01;13;3
20170200011535;01;13;3
20170200011536;01;01;10
20170200011540;01;10;4
20170200011603;01;10;3
20170200011604;01;14;1
20170200011604;02;10;3
20170200011897;01;01;2
20170200011897;02;01;1
20170200011897;03;01;1
20170200011897;04;01;2
20170200011897;05;01;2
20170200011897;06;01;2
20170200011961;01;01;9
20170200011962;01;01;7
20170200011963;01;01;4
20170200011963;02;01;1
20170200011963;03;01;2
20170200011963;04;01;2
20170200011963;05;01;3
20170200011963;06;01;2
20170200012297;01;09;4
20170200012299;01;09;3
20170200012358;01;13;3
20170200012363;01;13;2
20170200012410;01;01;30
20170200012453;01;01;60
20170200012484;01;17;60
20170200012565;01;02;3
20170200012858;01;10;2
20170200012858;02;01;4
20170200012858;03;01;1
20170200012858;04;01;2
20170200012858;05;08;1
20170200013186;01;13;10
20170200013233;01;14;10
20170200013234;01;14;3
20170200013235;01;14;7
20170200013235;02;10;9
20170200013292;01;03;5
20170200013293;01;14;7
20170200013508;01;09;2
20170200013591;01;09;3
20170200013716;01;13;1
20170200013739;01;13;34
20170200013981;01;10;7
20170200013983;01;13;2
20170200014025;01;10;1
20170200014025;02;10;1
20170200014027;01;14;30
20170200014097;01;09;2
20170200014097;02;16;2
20170200014097;03;16;1
20170200014422;01;04;2
20170200014575;01;09;1
20170200014580;01;09;2
20170200014584;01;10;1
20170200014627;01;09;3
20170200014629;01;09;3
20170200014630;01;09;6
20170200014767;01;13;4
20170200014773;01;13;3
20170200014780;01;09;9
20170200014780;02;13;1
20170200014782;01;01;5
20170200014782;02;01;2
20170200014782;03;13;3
20170200014944;01;04;3
20170200014945;01;04;5
20170200014947;01;04;5
20170200014950;01;04;7
20170200014951;01;04;4
20170200014952;01;04;4
20170200014953;01;04;5
20170200015056;01;01;5
20170200015461;01;10;4
20170200015462;01;10;6
20170200015520;01;10;7
20170200015521;01;10;4
20170200015586;01;10;1
20170200015630;01;09;3
20170200015895;01;05;1
20170200015895;02;05;39
20170200017057;01;01;2
20170200017093;01;01;1
20170200017099;01;01;1
20170200017315;01;09;7
20170200017321;01;09;2
20170200017321;02;09;1
20170200017326;01;13;7
20170200017329;01;02;7
20170200017339;01;09;4
20170200017349;01;09;1
20170200017355;01;13;2
20170200017355;02;09;2
20170200017358;01;09;1
20170200017365;01;13;6
20170200017370;01;13;3
20170200017794;01;09;7
20170200017795;01;09;14
20170200017796;01;09;12
20170200017797;01;09;3
20170200018491;01;10;2
20170200018494;01;10;3
20170200018495;01;10;2
20170200018567;01;10;2
20170200018568;01;10;2
20170200018569;01;10;2
20170200018569;02;10;2
20170200018570;01;10;2
20170200018755;01;13;1
20170200018755;02;17;1
20170200018756;01;13;8
20170200018757;01;13;1
20170200018758;01;13;10
20170200018864;01;13;2
20170200018867;01;13;4
20170200019038;01;12;2
20170200019041;01;12;1
20170200019041;02;12;1
20170200019046;01;12;1
20170200020017;01;04;4
