A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
2;20161201030447;2;2;13;13;1;1;6;4;166.2928194
2;20161200030447;2;2;13;13;1;1;6;4;166.2928194
1;20161200030531;2;2;13;01;8;4;6;5;237.70431397
2;20161201003053;2;2;13;04;7;1;6;3;34.322560214
1;20161200025347;2;2;13;09;8;1;6;4;117.82444393
1;20161200022795;2;2;13;09;1;1;6;3;27.55881814
2;20161200013116;2;2;13;05;1;1;6;4;308.61634226
2;20161200028494;2;2;13;09;1;1;1;3;188.78801467
1;20161200016897;2;2;13;13;1;1;6;2;416.14128436
1;20161201001471;2;2;13;01;1;1;1;4;221.28476006
1;20161200022639;2;2;13;09;1;1;1;4;27.52795388
2;20161200025452;3;2;13;98;0;5;0;1;67.319786474
2;20161200022421;2;2;13;04;8;4;6;5;34.585885302
1;20161200029638;2;2;13;04;8;4;6;4;34.585885302
1;20161200029864;2;2;13;09;8;4;6;4;129.13248631
2;20161200021462;2;2;13;13;9;1;6;2;205.48591429
2;20161201006017;2;2;13;05;1;1;6;4;194.60817261
1;20161200015480;2;2;13;14;3;1;6;6;126.55375888
1;20161200029876;2;2;13;09;8;4;6;4;129.13248631
1;20161200025061;2;2;13;01;2;3;6;6;63.849926506
1;20161200022794;2;2;13;09;1;1;6;4;27.55881814
2;20161200022344;2;2;13;04;1;1;1;3;54.279410558
1;20161200029635;2;2;13;04;1;1;1;4;54.279410558
2;20161200029774;2;2;13;04;8;4;6;4;34.585885302
1;20161200022628;2;2;13;09;1;1;6;4;27.55881814
1;20161200025346;2;2;13;09;8;1;6;4;117.82444393
2;20161200029773;2;2;13;04;1;1;6;4;54.340268471
2;20161200020347;2;2;13;14;1;1;6;3;208.75548983
2;20161200026271;2;2;13;04;8;4;6;4;61.792920231
1;20161200025291;2;2;13;09;2;1;6;4;118.54844913
2;20161200025449;3;2;13;98;0;5;0;1;67.319786474
1;20161200015317;2;3;13;09;3;1;6;6;312.16574903
